origen,destino,peso
x6,x9,0.9974222641246544
x4,x9,0.747455983123309
x2,x5,0.6554667397845584
x1,x5,0.4149581888422794
x5,x9,0.016187079957557946
x5,x6,0.009532125511079962
x1,x9,0.006914131605042884
x1,x6,0.006395729744021611
x5,x4,0.006290134991258897
x2,x9,0.00536484144206802
x2,x6,0.003924496448127653
x1,x2,0.0024430930637196584
x1,x3,0.002231848319887677
x2,x4,0.0013337335992458805
x2,x3,0.0007527351415194533
x5,x3,0.0007215533497778488
x4,x6,0.00011637746328630946
x9,x3,0.00010730132829333584
x6,x3,0.00010581401855305544
x1,x4,3.046512542150795e-05
x4,x3,1.0444214953052777e-07
