origen,destino,peso
x6,x9,0.9998138407964138
x2,x5,0.6869234645677285
x4,x9,0.6860149825611654
x1,x5,0.4237060182712496
x5,x9,0.0069166024477963625
x1,x2,0.006097859416743661
x9,x3,0.005812707798794899
x4,x3,0.0048182625084592715
x2,x9,0.0031403775880672682
x1,x9,0.002923227216375653
x1,x4,0.0018099803053031587
x5,x3,0.001206261187618466
x5,x4,0.0011937605512851838
x5,x6,0.0007606357333437511
x2,x3,0.0005564304752841212
x1,x3,0.0005455374014420138
x4,x6,0.00038780821632008935
x1,x6,0.00038419741750475665
x6,x3,0.0003840445825359041
x2,x6,0.00017044821595749767
x2,x4,2.0301208971910435e-05
